year,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,country,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,total_damages
1946,Geophysical,Earthquake,Ground movement,NA,Dominican Republic (the),19.25,-69,1946,8,4,1946,8,4,73,NA
1946,Geophysical,Earthquake,Ground movement,NA,Algeria,35.75,5,1946,2,12,1946,2,12,276,NA
1949,Geophysical,Earthquake,Ground movement,NA,Ecuador,-1.5,-78.2,1949,8,5,1949,8,5,6000,20000
1949,Geophysical,Earthquake,Ground movement,NA,Chile,-38,-73.5,1949,4,19,1949,4,19,35,39000
1949,Geophysical,Earthquake,Ground movement,NA,Chile,-54,-71,1949,12,17,1949,12,17,6,5200
1950,Geophysical,Earthquake,Ground movement,NA,India,28.5,96.5,1950,8,15,1950,8,15,1500,20000
1950,Geophysical,Earthquake,Ground movement,NA,Colombia,7.8,-72.5,1950,7,8,1950,7,8,211,5000
1952,Geophysical,Earthquake,Ground movement,NA,Haiti,18.3,73.2,1952,10,27,1952,10,27,6,20000
1953,Geophysical,Earthquake,Ground movement,NA,Chile,-37.093,-72.866,1953,5,6,1953,5,6,12,500000
1953,Geophysical,Earthquake,Ground movement,NA,Cyprus,34.741,32.335,1953,9,10,1953,9,10,40,NA
1953,Geophysical,Earthquake,Ground movement,NA,Greece,38.182,20.942,1953,8,12,1953,8,12,476,100000
1953,Geophysical,Earthquake,Ground movement,NA,Chile,-22.1,-68.7,1953,12,6,1953,12,6,3,7310
1954,Geophysical,Earthquake,Ground movement,NA,Algeria,36.283,1.467,1954,9,9,1954,9,9,1250,6000
1954,Geophysical,Earthquake,Ground movement,NA,Afghanistan,36,66,1954,6,10,1954,6,10,2000,NA
1954,Geophysical,Earthquake,Ground movement,NA,Greece,39.3,22.2,1954,4,30,1954,4,30,31,3150
1955,Geophysical,Earthquake,Ground movement,NA,China,30,101.8,1955,4,14,1955,4,14,39,NA
1955,Geophysical,Earthquake,Ground movement,NA,Egypt,32.2,29.6,1955,9,12,1955,9,12,20,NA
1956,Geophysical,Earthquake,Ground movement,NA,Greece,36.664,25.957,1956,7,9,1956,7,9,53,NA
1956,Geophysical,Earthquake,Ground movement,NA,Afghanistan,35.1,67.5,1956,6,10,1956,6,10,100,25000
1956,Geophysical,Earthquake,Ground movement,NA,Spain,37,-4,1956,4,19,1956,4,19,11,NA
1956,Geophysical,Earthquake,Ground movement,NA,India,23,70,1956,7,21,1956,7,21,113,NA
1958,Geophysical,Earthquake,Ground movement,NA,Indonesia,-9.5,112.5,1958,10,20,1958,10,20,8,NA
1960,Geophysical,Earthquake,Tsunami,NA,Chile,-38.143,-73.407,1960,5,22,1960,5,22,6000,550000
1960,Geophysical,Earthquake,Ground movement,NA,Algeria,36,4.1,1960,2,21,1960,2,21,57,NA
1961,Geophysical,Earthquake,Ground movement,NA,Ethiopia,10.4,39.9,1961,6,2,1961,6,2,30,NA
1962,Geophysical,Earthquake,Ground movement,NA,Albania,40.9,19.5,1962,3,18,1962,3,18,15,NA
1962,Geophysical,Earthquake,Ground movement,NA,Colombia,5.173,-76.352,1962,7,30,1962,7,30,47,NA
1964,Geophysical,Earthquake,Ground movement,NA,Azores Islands,38.8,-28.4,1964,2,18,1964,2,18,NA,NA
1965,Geophysical,Earthquake,Ground movement,NA,Indonesia,-2.608,-125.952,1965,1,24,1965,1,24,71,NA
1965,Geophysical,Earthquake,Ground movement,NA,Chile,-32.522,-71.233,1965,3,28,1965,3,28,400,125000
1965,Geophysical,Earthquake,Ground movement,NA,Algeria,35.7,4.4,1965,1,1,1965,1,1,2,2000
1965,Geophysical,Earthquake,Ground movement,NA,Greece,39.4,24,1965,3,9,1965,3,9,38,8000
1966,Geophysical,Earthquake,Ground movement,NA,Chile,-25.494,-70.55,1966,12,28,1966,12,28,4,400
1966,Geophysical,Earthquake,Ground movement,NA,Greece,39.2,22,1966,2,5,1966,2,5,1,4000
1966,Geophysical,Earthquake,Ground movement,NA,Greece,37.5,22.1,1966,9,1,1966,9,1,1,14000
1967,Geophysical,Earthquake,Ground movement,NA,Indonesia,-3.7,119.3,1967,4,11,1967,4,11,71,NA
1967,Geophysical,Earthquake,Ground movement,NA,Albania,41.386,20.532,1967,11,30,1967,11,30,11,20000
1967,Geophysical,Earthquake,Ground movement,NA,Colombia,2.849,-74.798,1967,2,9,1967,2,9,61,600
1967,Geophysical,Earthquake,Ground movement,NA,France,43.2,-0.5,1967,8,13,1967,8,13,1,NA
1967,Geophysical,Earthquake,Ground movement,NA,Greece,39.5,21.2,1967,5,1,1967,5,1,9,5000
1967,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.965,113.017,1967,2,20,1967,2,20,54,NA
1967,Geophysical,Earthquake,Ground movement,NA,India,17.412,73.885,1967,12,11,1967,12,11,177,400
1968,Geophysical,Earthquake,Ground movement,NA,Greece,39.368,24.957,1968,2,20,1968,2,20,19,600
1968,Geophysical,Earthquake,Ground movement,NA,Australia,-31.566,117.071,1968,10,14,1968,10,14,NA,2600
1968,Geophysical,Earthquake,Tsunami,NA,Indonesia,0.157,119.802,1968,8,15,1968,8,15,200,NA
1969,Geophysical,Earthquake,Ground movement,NA,China,22.317,111.8,1969,7,26,1969,7,26,3000,NA
1969,Geophysical,Earthquake,Ground movement,NA,Ethiopia,11.9,41.21,1969,3,29,1969,3,29,24,320
1969,Geophysical,Earthquake,Tsunami,NA,Indonesia,-3.201,118.904,1969,2,23,1969,2,23,64,NA
1970,Geophysical,Earthquake,Ground movement,NA,China,24.185,102.543,1970,1,4,1970,1,4,10000,NA
1970,Geophysical,Earthquake,Ground movement,NA,Colombia,6.375,-77.438,1970,9,25,1970,9,25,NA,400
1970,Geophysical,Earthquake,Ground movement,NA,Ecuador,-4.026,-80.542,1970,12,9,1970,12,9,29,4000
1970,Geophysical,Earthquake,Ground movement,NA,India,21.7,73,1970,3,23,1970,3,23,26,NA
1971,Geophysical,Earthquake,Ground movement,NA,Chile,-32.601,-71.076,1971,7,9,1971,7,9,85,236400
1973,Geophysical,Earthquake,Ground movement,NA,Costa Rica,10.679,-84.759,1973,4,14,1973,4,14,21,200
1974,Geophysical,Earthquake,Ground movement,NA,China,28.4,104.1,1974,5,11,1974,5,11,20000,NA
1975,Geophysical,Earthquake,Ground movement,NA,China,40.641,122.58,1975,2,4,1975,2,4,2000,NA
1975,Geophysical,Earthquake,Ground movement,NA,India,32.455,78.43,1975,1,19,1975,1,19,47,NA
1976,Geophysical,Earthquake,Ground movement,NA,Afghanistan,36.61,67.79,1976,3,19,1976,3,19,50,NA
1976,Geophysical,Earthquake,Ground movement,NA,China,39.57,117.978,1976,7,28,1976,7,28,242000,5600000
1976,Geophysical,Earthquake,Ground movement,NA,Ecuador,0.782,79.804,1976,4,9,1976,4,9,10,4000
1976,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-0.677,-78.436,1976,12,NA,1976,12,NA,1,NA
1976,Geophysical,Earthquake,Ground movement,NA,Guatemala,15.324,-89.101,1976,2,4,1976,2,4,23000,1000000
1976,Geophysical,Earthquake,Ground movement,NA,Indonesia,-4.603,140.091,1976,6,26,1976,6,26,420,25000
1976,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.17,114.888,1976,7,14,1976,7,14,573,195000
1976,Geophysical,Earthquake,Ground movement,NA,Indonesia,-4.517,139.918,1976,10,29,1976,10,29,133,NA
1977,Geophysical,Earthquake,Ground movement,NA,Indonesia,-11.164,118.378,1977,8,19,1977,8,19,185,1200
1977,Geophysical,Earthquake,Ground movement,NA,Argentina,-31.028,-67.767,1977,11,23,1977,11,23,70,80000
1978,Geophysical,Earthquake,Ground movement,NA,Greece,40.739,23.229,1978,6,20,1978,6,20,50,250000
1901,Geophysical,Earthquake,Tsunami,NA,Japan,40.5,142.5,1901,8,10,1901,8,10,18,NA
1902,Geophysical,Earthquake,Ground movement,NA,Soviet Union,40.8,72.3,1902,12,16,1902,12,16,4562,NA
1903,Geophysical,Earthquake,Ground movement,NA,Turkey,39.09,42.3,1903,4,29,1903,4,29,3560,NA
1905,Geophysical,Earthquake,Tsunami,NA,Japan,37.4,142.6,1907,7,7,1907,7,7,41,NA
1905,Geophysical,Earthquake,Ground movement,NA,Italy,38.67,16.07,1905,9,8,1905,9,8,557,NA
1906,Geophysical,Earthquake,Ground movement,NA,United States of America (the),37.67,-122.48,1906,4,18,1906,4,18,700,524000
1906,Geophysical,Volcanic activity,Ash fall,NA,Italy,40.821,14.426,1906,4,18,1906,4,18,700,NA
1906,Geophysical,Earthquake,Ground movement,NA,Taiwan (Province of China),23.6,170.5,1906,3,17,1906,3,17,1258,NA
1907,Geophysical,Earthquake,Ground movement,NA,Jamaica,18.2,-76.8,1907,1,14,1907,1,14,1200,30000
1908,Geophysical,Earthquake,Ground movement,NA,Italy,38.17,15.58,1908,12,28,1908,12,28,75000,116000
1909,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),33.55,48.48,1909,1,23,1909,1,23,5000,NA
1909,Geophysical,Earthquake,Ground movement,NA,Morocco,35.34,-5.22,1909,1,29,1909,1,29,100,NA
1912,Geophysical,Earthquake,Ground movement,NA,Turkey,40.41,27.15,1912,8,9,1912,8,9,923,NA
1913,Geophysical,Earthquake,Ground movement,NA,Peru,-14.2,-72.9,1913,11,4,1913,11,4,150,NA
1913,Geophysical,Earthquake,Ground movement,NA,Romania,43.5,25.5,1913,6,14,1913,6,14,NA,NA
1914,Geophysical,Earthquake,Ground movement,NA,Japan,39.2,139.8,1914,3,16,1914,3,16,94,NA
1915,Geophysical,Earthquake,Ground movement,NA,Italy,42.02,13.26,1915,1,13,1915,1,13,29980,60000
1915,Geophysical,Earthquake,Ground movement,NA,United States of America (the),32.47,-115.33,1915,6,22,1915,6,22,6,1000
1918,Geophysical,Earthquake,Ground movement,NA,Philippines (the),8.29,124.4,1918,8,15,1918,8,15,100,NA
1918,Geophysical,Earthquake,Ground movement,NA,Puerto Rico,18.06,-67.54,1918,10,11,1918,10,11,116,29000
1920,Geophysical,Earthquake,Ground movement,NA,Italy,44.3,10.3,1920,9,7,1920,9,7,1400,NA
1923,Geophysical,Earthquake,Ground movement,NA,Japan,35.413,139.298,1923,9,1,1923,9,1,143000,600000
1923,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.2,59.2,1923,5,26,1923,5,26,2200,NA
1927,Geophysical,Earthquake,Ground movement,NA,Jordan,31.922,35.633,1927,7,11,1927,7,11,268,NA
1927,Geophysical,Earthquake,Ground movement,NA,Japan,35.632,135.013,1927,3,7,1927,3,7,3022,40000
1929,Geophysical,Earthquake,Ground movement,NA,New Zealand,-41.55,172.25,1929,6,17,1929,6,17,17,NA
1929,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),37.8,57.8,1929,5,1,1929,5,1,3253,NA
1930,Geophysical,Earthquake,Ground movement,NA,Myanmar,17.86,96.43,1930,5,5,1930,5,5,500,NA
1930,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),38.087,44.781,1930,5,6,1930,5,6,1360,NA
1930,Geophysical,Earthquake,Ground movement,NA,Italy,40.922,15.377,1930,7,23,1930,7,23,1883,5000
1930,Geophysical,Earthquake,Ground movement,NA,Japan,35.05,139.129,1930,11,26,1930,11,26,259,NA
1930,Geophysical,Earthquake,Ground movement,NA,Myanmar,18.233,96.298,1930,12,4,1930,12,4,36,NA
1931,Geophysical,Earthquake,Ground movement,NA,Nicaragua,13.2,-85.7,1931,3,31,1931,3,31,1000,15000
1931,Geophysical,Earthquake,Ground movement,NA,New Zealand,-39.659,176.42,1931,2,3,1931,2,3,256,25000
1931,Geophysical,Earthquake,Tsunami,NA,Solomon Islands,11.117,161.11,1931,10,4,1931,10,4,50,NA
1933,Geophysical,Earthquake,Ground movement,NA,United States of America (the),33.62,117.97,1933,3,10,1933,3,10,116,38500
1933,Geophysical,Earthquake,Tsunami,NA,Japan,39.224,144.622,1933,3,3,1933,3,3,3000,NA
1935,Geophysical,Earthquake,Ground movement,NA,Pakistan,29.5,66.8,1935,5,31,1935,5,31,60000,NA
1935,Geophysical,Earthquake,Ground movement,NA,Taiwan (Province of China),24.3,124.3,1935,4,21,1935,4,21,3276,NA
1935,Geophysical,Earthquake,Ground movement,NA,Taiwan (Province of China),24.6,120.8,1935,7,17,1935,7,17,2746,NA
1938,Geophysical,Earthquake,Ground movement,NA,Turkey,39.508,33.872,1938,4,19,1938,4,19,149,NA
1939,Geophysical,Earthquake,Ground movement,NA,Turkey,39.771,39.57,1939,12,27,1939,12,27,32962,20000
1939,Geophysical,Earthquake,Ground movement,NA,Turkey,39.7,10.4,1939,11,21,1939,11,21,13,NA
1939,Geophysical,Earthquake,Ground movement,NA,Turkey,39.209,27.164,1939,9,22,1939,9,22,60,NA
1940,Geophysical,Earthquake,Ground movement,NA,Peru,-10.5,-77,1940,5,24,1940,5,24,179,NA
1940,Geophysical,Earthquake,Ground movement,NA,Romania,45.8,26.8,1940,11,10,1940,11,10,980,10000
1940,Geophysical,Earthquake,Ground movement,NA,Turkey,38.4,35.5,1940,2,20,1940,2,20,37,NA
1940,Geophysical,Earthquake,Ground movement,NA,United States of America (the),32.733,-115.5,1940,5,18,1940,5,18,9,33000
1941,Geophysical,Earthquake,Ground movement,NA,Myanmar,22.408,99.814,1941,12,26,1941,12,26,15,NA
1942,Geophysical,Earthquake,Ground movement,NA,Turkey,40.87,36.732,1942,12,20,1942,12,20,3000,NA
1943,Geophysical,Earthquake,Ground movement,NA,Japan,35.448,133.993,1943,9,10,1943,9,10,1400,NA
1943,Geophysical,Earthquake,Ground movement,NA,Peru,-14.2,-71.5,1943,1,30,1943,1,30,200,NA
1943,Geophysical,Earthquake,Ground movement,NA,Turkey,40.916,33.562,1943,11,27,1943,11,27,4020,40000
1944,Geophysical,Earthquake,Tsunami,NA,Japan,33.682,36.204,1944,12,7,1944,12,7,1223,NA
1944,Geophysical,Volcanic activity,Ash fall,NA,Italy,40.821,14.426,1944,3,18,1944,3,18,26,NA
1944,Geophysical,Earthquake,Ground movement,NA,Turkey,40.696,32.992,1944,2,1,1944,2,1,3959,NA
1944,Geophysical,Earthquake,Ground movement,NA,Turkey,39.502,26.596,1944,10,6,1944,10,6,27,NA
1945,Geophysical,Earthquake,Ground movement,NA,Japan,34.612,137.064,1945,1,13,1945,1,13,2306,NA
1945,Geophysical,Earthquake,Ground movement,NA,Pakistan,24.927,63.601,1945,11,28,1945,11,28,4000,25000
1946,Geophysical,Earthquake,Ground movement,NA,Japan,33.116,135.895,1946,12,21,1946,12,21,2000,NA
1946,Geophysical,Earthquake,Tsunami,NA,United States of America (the),53.492,-162.832,1946,4,1,1946,4,1,165,25000
1946,Geophysical,Earthquake,Ground movement,NA,Peru,-8.41,-77.535,1946,11,10,1946,11,10,1400,NA
1946,Geophysical,Earthquake,Ground movement,NA,Soviet Union,39.826,54.648,1946,11,4,1946,11,4,400,NA
1946,Geophysical,Earthquake,Ground movement,NA,Turkey,39.3,41.2,1946,5,31,1946,5,31,840,NA
1947,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),33.621,58.643,1947,9,23,1947,9,23,400,NA
1947,Geophysical,Earthquake,Ground movement,NA,Peru,-10.973,-74.725,1947,11,1,1947,11,1,233,NA
1948,Geophysical,Earthquake,Ground movement,NA,Japan,36.5,136,1948,6,28,1948,6,28,5131,1000000
1948,Geophysical,Earthquake,Ground movement,NA,Philippines (the),10.5,122,1948,1,25,1948,1,25,72,3500
1948,Geophysical,Earthquake,Ground movement,NA,Soviet Union,37.95,58.32,1948,10,5,1948,10,5,110000,25000
1949,Geophysical,Earthquake,Ground movement,NA,Soviet Union,39.2,70.8,1949,7,10,1949,7,10,3500,NA
1949,Geophysical,Earthquake,Ground movement,NA,Turkey,39,40.5,1949,8,17,1949,8,17,320,NA
1949,Geophysical,Earthquake,Ground movement,NA,United States of America (the),47.167,-122.617,1949,4,13,1949,4,13,8,25000
1950,Geophysical,Earthquake,Ground movement,NA,Peru,-13.5,-72,1950,5,21,1950,5,21,83,NA
1951,Geophysical,Earthquake,Ground movement,NA,Nicaragua,13,-87.5,1951,8,3,1951,8,3,500,NA
1951,Geophysical,Earthquake,Ground movement,NA,El Salvador,13.3,-87.8,1951,5,6,1951,5,6,1100,23000
1951,Geophysical,Earthquake,Ground movement,NA,Turkey,40.8,33.4,1951,8,13,1951,8,13,54,NA
1952,Geophysical,Earthquake,Ground movement,NA,Japan,42.084,143.899,1952,3,4,1952,3,4,33,NA
1952,Geophysical,Earthquake,Tsunami,NA,Soviet Union,52.623,159.779,1952,11,5,1952,11,5,NA,NA
1952,Geophysical,Earthquake,Ground movement,NA,Turkey,36.5,35.5,1952,10,22,1952,10,22,20,NA
1952,Geophysical,Earthquake,Ground movement,NA,Turkey,39.9,41.7,1952,1,3,1952,1,3,103,NA
1952,Geophysical,Earthquake,Ground movement,NA,United States of America (the),34.958,-118.998,1952,7,21,1952,7,21,12,60000
1952,Geophysical,Earthquake,Ground movement,NA,United States of America (the),35.333,-118.917,1952,8,22,1952,8,22,2,10000
1953,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.385,54.979,1953,2,12,1953,2,12,970,NA
1953,Geophysical,Earthquake,Ground movement,NA,Peru,-3.552,-80.636,1953,12,12,1953,12,12,9,NA
1953,Geophysical,Earthquake,Ground movement,NA,Turkey,40.175,27.648,1953,3,18,1953,3,18,1200,3570
1954,Geophysical,Earthquake,Ground movement,NA,Philippines (the),13,123.9,1954,7,2,1954,7,2,13,NA
1955,Geophysical,Earthquake,Ground movement,NA,Philippines (the),7.674,124.081,1955,4,1,1955,4,1,400,5000
1956,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),27.407,54.462,1956,10,31,1956,10,31,350,NA
1956,Geophysical,Earthquake,Ground movement,NA,Lebanon,35.5,35.5,1956,3,16,1956,3,16,136,NA
1957,Geophysical,Earthquake,Ground movement,NA,Mexico,16.5,-99.1,1957,7,28,1957,7,28,160,25000
1957,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),33.4,52.5,1957,4,23,1957,4,23,44,NA
1957,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),36100,52700,1957,7,2,1957,7,2,2500,15000
1957,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),34.3,47.8,1957,12,13,1957,12,13,3000,5000
1957,Geophysical,Earthquake,Ground movement,NA,Mongolia,45.5,99.5,1957,12,4,1957,12,4,1200,NA
1957,Geophysical,Volcanic activity,Ash fall,NA,Papua New Guinea,-4.08,145.037,1957,12,NA,1957,12,NA,NA,NA
1957,Geophysical,Earthquake,Ground movement,NA,Tunisia,36.2,8.9,1957,2,20,1957,2,20,13,NA
1957,Geophysical,Earthquake,Ground movement,NA,Turkey,40.7,30.9,1957,5,26,1957,5,26,53,NA
1958,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),34.4,47.9,1958,8,16,1958,8,16,191,NA
1958,Geophysical,Earthquake,Ground movement,NA,Peru,-16.5,-72,1958,1,15,1958,1,15,28,NA
1959,Geophysical,Earthquake,Ground movement,NA,United States of America (the),44.712,-111.215,1959,8,17,1959,8,17,28,11000
1959,Geophysical,Earthquake,Ground movement,NA,Mexico,18.22,-94.416,1959,8,26,1959,8,26,25,NA
1960,Geophysical,Earthquake,Ground movement,NA,Morocco,30.45,-9.62,1960,2,29,1960,2,29,12000,120000
1960,Geophysical,Earthquake,Ground movement,NA,Peru,-15.75,-72.75,1960,1,13,1960,1,13,63,NA
1960,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),28,54.5,1960,4,24,1960,4,24,480,20000
1960,Geophysical,Volcanic activity,Ash fall,NA,Papua New Guinea,-4.08,145.037,1960,3,17,1960,3,17,NA,NA
1962,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.656,49.843,1962,9,1,1962,9,1,12000,30000
1962,Geophysical,Earthquake,Ground movement,NA,Italy,41.4,15.5,1962,8,21,1962,8,21,16,NA
1963,Geophysical,Earthquake,Ground movement,NA,Libya,32.6,21,1963,2,21,1963,2,21,300,5000
1964,Geophysical,Earthquake,Tsunami,NA,Japan,38.67,139.195,1964,6,16,1964,6,16,25,800000
1964,Geophysical,Earthquake,Tsunami,NA,United States of America (the),60.908,-147.339,1964,3,27,1964,3,27,131,311000
1964,Geophysical,Earthquake,Ground movement,NA,Mexico,18.136,-100.605,1964,7,6,1964,7,6,45,3000
1964,Geophysical,Earthquake,Ground movement,NA,Turkey,40.203,28.206,1964,10,6,1964,10,6,23,5000
1964,Geophysical,Earthquake,Ground movement,NA,Taiwan (Province of China),23.2,120.6,1964,1,18,1964,1,18,107,NA
1965,Geophysical,Earthquake,Ground movement,NA,El Salvador,13.5,-89.3,1965,5,3,1965,5,3,125,35000
1965,Geophysical,Earthquake,Ground movement,NA,United States of America (the),47.4,-122.3,1965,4,29,1965,4,29,7,28000
1966,Geophysical,Earthquake,Ground movement,NA,Peru,-10.665,-78.228,1966,10,17,1966,10,17,120,15000
1966,Geophysical,Earthquake,Ground movement,NA,Nepal,29.706,80.935,1966,6,27,1966,6,27,80,1000
1966,Geophysical,Earthquake,Ground movement,NA,Soviet Union,41.2,69.1,1966,4,26,1966,4,26,10,300000
1966,Geophysical,Earthquake,Ground movement,NA,Turkey,38.5,41.3,1966,7,3,1966,7,3,14,NA
1966,Geophysical,Earthquake,Ground movement,NA,Turkey,39.235,41.572,1966,8,19,1966,8,19,2394,20000
1966,Geophysical,Earthquake,Ground movement,NA,Uganda,0.622,29.863,1966,3,20,1966,3,20,104,1500
1967,Geophysical,Earthquake,Ground movement,NA,Turkey,40.751,30.8,1967,7,22,1967,7,22,183,3000
1968,Geophysical,Earthquake,Ground movement,NA,Japan,40.5,140.43,1968,5,17,1968,5,17,47,131000
1968,Geophysical,Earthquake,Ground movement,NA,Mexico,15.5,-92.7,1968,9,25,1968,9,25,15,NA
1968,Geophysical,Earthquake,Ground movement,NA,Philippines (the),16.316,122.067,1968,8,2,1968,8,2,271,5000
1968,Geophysical,Earthquake,Ground movement,NA,Turkey,41.86,32.463,1968,9,3,1968,9,3,24,NA
1968,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),39.2,44.3,1968,4,29,1968,4,29,38,1000
1968,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),34.158,59.083,1968,8,31,1968,8,31,10000,35000
1968,Geophysical,Earthquake,Ground movement,NA,Italy,37.702,13.033,1968,1,15,1968,1,15,224,250000
1968,Geophysical,Earthquake,Ground movement,NA,Nicaragua,12.1,-86.2,1968,1,4,1968,1,4,NA,2000
1968,Geophysical,Earthquake,Ground movement,NA,New Zealand,-41.659,172.02,1968,5,24,1968,5,24,3,2669
1968,Geophysical,Earthquake,Ground movement,NA,Peru,-5.61,-77.086,1968,6,19,1968,6,19,11,100
1969,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),37.1,57.9,1969,1,3,1969,1,3,50,NA
1969,Geophysical,Earthquake,Ground movement,NA,Peru,-11.841,-75.051,1969,10,1,1969,10,1,150,5000
1969,Geophysical,Earthquake,Ground movement,NA,Turkey,38.515,28.546,1969,3,28,1969,3,28,53,NA
1970,Geophysical,Earthquake,Ground movement,NA,Peru,-9.183,-78.737,1970,5,31,1970,5,31,66794,530000
1970,Geophysical,Earthquake,Ground movement,NA,Papua New Guinea,-4.999,145.396,1970,11,1,1970,11,1,15,1750
1970,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),37.733,55.885,1970,7,30,1970,7,30,176,8000
1970,Geophysical,Earthquake,Ground movement,NA,Peru,-4.026,-80.542,1970,12,9,1970,12,9,29,2000
1970,Geophysical,Earthquake,Ground movement,NA,Philippines (the),15.791,121.63,1970,4,7,1970,4,7,14,NA
1970,Geophysical,Earthquake,Ground movement,NA,Turkey,39.098,29.57,1970,3,28,1970,3,28,1086,55600
